Saturation,Diffusion Coefficient
0.3537074148296593,2.901184730338193e-10
0.35501002004008014,3.0890386586268624e-10
0.356312625250501,3.28725591256219e-10
0.3576152304609218,3.496309860474875e-10
0.35891783567134267,3.716691031873533e-10
0.3602204408817635,3.948907578183208e-10
0.36152304609218433,4.1934857414871314e-10
0.3628256513026052,4.450970331312435e-10
0.36412825651302605,4.72192520954743e-10
0.36543086172344685,5.006933783523688e-10
0.3667334669338677,5.306599507331597e-10
0.3680360721442886,5.621546391428953e-10
0.3693386773547094,5.952419520599887e-10
0.37064128256513024,6.299885580306373e-10
0.3719438877755511,6.664633391510285e-10
0.3732464929859719,7.047374454008664e-10
0.37454909819639276,7.44884349833679e-10
0.3758517034068136,7.869799046288676e-10
0.3771543086172344,8.311023980137855e-10
0.3784569138276553,8.773326120559452e-10
0.37975951903807614,9.257538813357852e-10
0.38106212424849695,9.764521525017589e-10
0.3823647294589178,1.0295160447137592e-09
0.38366733466933867,1.0850369109808756e-09
0.38496993987975947,1.1431089003965728e-09
0.38627254509018033,1.2038290212770223e-09
0.3875751503006012,1.2672972052072325e-09
0.388877755511022,1.333616371999679e-09
0.39018036072144285,1.4028924955692952e-09
0.3914829659318637,1.4752346707294883e-09
0.3927855711422845,1.5507551809125177e-09
0.3940881763527054,1.62956956682204e-09
0.39539078156312624,1.7117966960131644e-09
0.39669338677354704,1.7975588334159781e-09
0.3979959919839679,1.886981712792704e-09
0.39929859719438876,1.980194609145131e-09
0.40060120240480956,2.0773304120620127e-09
0.4019038076152304,2.1785257000228238e-09
0.4032064128256513,2.2839208156485345e-09
0.4045090180360721,2.3936599419111242e-09
0.40581162324649295,2.5078911792984268e-09
0.4071142284569138,2.626766623938698e-09
0.4084168336673346,2.750442446686488e-09
0.40971943887775547,2.8790789731716658e-09
0.41102204408817633,3.012840764807866e-09
0.41232464929859713,3.151896700770599e-09
0.413627254509018,3.2964200609356504e-09
0.41492985971943885,3.4465886097860667e-09
0.41623246492985966,3.602584681277319e-09
0.4175350701402805,3.7645952646694345e-09
0.4188376753507014,3.932812091325184e-09
0.4201402805611222,4.107431722456991e-09
0.42144288577154304,4.288655637839402e-09
0.4227454909819639,4.476690325481255e-09
0.4240480961923847,4.671747372229438e-09
0.42535070140280556,4.8740435553484805e-09
0.4266533066132264,5.083800935006776e-09
0.42795591182364723,5.301246947737497e-09
0.4292585170340681,5.526614500791304e-09
0.43056112224448895,5.76014206744606e-09
0.43186372745490975,6.002073783203897e-09
0.43316633266533067,6.252659542908518e-09
0.43446893787575147,6.512155098752977e-09
0.4357715430861723,6.780822159174908e-09
0.4370741482965932,7.058928488612996e-09
0.438376753507014,7.346748008140817e-09
0.4396793587174348,7.644560896921362e-09
0.4409819639278557,7.952653694506858e-09
0.4422845691382765,8.271319403937296e-09
0.4435871743486973,8.600857595640096e-09
0.44488977955911824,8.941574512078258e-09
